security,trades,pnl,position,market_dates,strategy_dates
EMAAR,11257,358952.2500000013,0,136,136
ALDAR,11932,-14535.059999999592,0,136,136
ADNOCDRI,7787,5706.7199999998,0,136,136
ADNOCGAS,6260,143662.58000000005,0,136,136
ADNOCLS,5877,12840.639999999732,0,136,136
EAND,8209,14179.54000000007,0,136,135
ADCB,13321,-12401.539999999928,0,136,135
ADIB,12491,-24681.62000000025,0,136,136
EMIRATES,12499,41684.54999999994,0,136,136
TALABAT,5312,105987.81800000141,0,136,136
SPINNEYS,657,7104.139999999977,0,136,105
FAB,8925,5460.080000000272,0,136,136
SALIK,17519,26397.460000000054,0,136,136
PARKIN,7006,-1740.3099999998262,0,136,136
MULTIPLY,9644,88615.59000000008,0,136,136
MODON,4103,17765.570000000058,0,136,136
