security,trades,pnl,position,entry_price
EMAAR,10147,377527.7000000009,0,0
ALDAR,12214,-7168.63000000038,0,0
ADNOCDRI,7914,21440.579999999885,0,0
ADNOCGAS,6438,130118.46000000008,0,0
ADNOCLS,5614,14112.74999999986,0,0
EAND,7032,19611.20000000009,0,0
ADCB,12788,-22419.900000000347,0,0
ADIB,11653,-27004.779999999973,0,0
EMIRATES,11878,54678.49999999976,0,0
TALABAT,4359,115860.74900000128,0,0
SPINNEYS,569,7606.58,0,0
FAB,8285,7445.260000000038,0,0
SALIK,15571,47477.34000000011,0,0
PARKIN,6045,7416.160000000157,0,0
MULTIPLY,9024,186656.95999999953,0,0
MODON,3405,34575.270000000004,0,0
