security,trades,pnl,position
ADCB,23798,-63506.33999999929,0
ADIB,20601,-39977.68000000034,0
ADNOCDRI,13379,11411.219999999581,0
ADNOCGAS,16138,295573.38999999955,0
ADNOCLS,9598,1157.5100000002792,0
