security,trades,pnl,position
ADCB,19376,-50880.039999999535,0
ADIB,17175,-37496.85999999987,0
ADNOCDRI,11172,4108.119999999529,0
ADNOCGAS,13581,203044.20999999926,0
ADNOCLS,8157,-1586.2200000000512,0
