strategy,interval_sec,security,trades,pnl,volume,position,avg_pnl_per_trade,sharpe_ratio,max_drawdown,max_drawdown_pct,calmar_ratio,win_rate,profit_factor,trading_days,trades_per_day
v2,30,EMAAR,22408,555789.3000000019,1556452101.0,0,24.803164048554173,8.702736380171608,-13822.450000000157,-26.00962298376514,3959476.383239327,23.995894323455907,1.9809763229433612,136,164.76470588235293
v2,60,EMAAR,21171,472096.79999999836,1460693813.2,0,22.299220631996523,7.800663097174966,-24405.950000000244,-5.13206375160817,17045142.89647871,23.244060271125598,1.841543455506526,136,155.6691176470588
v2,120,EMAAR,19342,407903.6999999988,1328699523.8,0,21.089013545651888,7.386804645533965,-29227.30000000121,-7.320692221240393,10324454.831904443,22.774273601488986,1.7795153137648254,136,142.22058823529412
v2,180,EMAAR,18462,399388.9500000017,1270822812.15,0,21.633027299317607,7.323659860001652,-40531.650000000256,-10.1537937769022,7288351.990817525,22.267359982667102,1.8107684864433844,136,135.75
v2,300,EMAAR,16688,298474.50000000396,1158892671.3,0,17.885576462128714,5.616738754605169,-32148.200000000186,-10.763589709164153,5138208.591373602,22.537152444870564,1.6029860473157485,136,122.70588235294117
