security,trades,pnl,position,entry_price
EMAAR,14753,401286.19999999984,0,0
ALDAR,11335,-16822.20999999983,0,0
ADNOCDRI,8034,8709.929999999797,0,0
ADNOCGAS,7343,101813.82999999984,0,0
ADNOCLS,5802,8597.090000000033,0,0
EAND,8426,15615.560000000278,0,0
ADCB,13334,-25876.84,0,0
ADIB,12466,-55160.45999999973,0,0
EMIRATES,13053,13678.000000000377,0,0
TALABAT,6577,138638.22800000053,0,0
SPINNEYS,671,7563.109999999996,0,0
FAB,8938,3254.739999999867,0,0
SALIK,21166,31429.479999999567,0,0
PARKIN,7496,2358.7200000002304,0,0
MULTIPLY,10422,119358.25000000025,0,0
MODON,4051,21945.999999999975,0,0
