refill_interval_sec,refill_interval_min,total_trades,total_pnl,total_volume,securities_traded,avg_pnl_per_trade,avg_pnl_per_security,total_market_days,total_strategy_days,trading_day_coverage
1,0.016666666666666666,50924,834902.7430000014,743639960.7259979,16,16.395073894430944,52181.42143750009,2176,2091,96.09375
15,0.25,111064,1014083.7539999983,1503955245.8790088,16,9.13062517107252,63380.234624999895,2176,2138,98.25367647058823
30,0.5,125175,1032262.2950000019,1656148633.0880167,16,8.24655318554026,64516.39343750012,2176,2141,98.39154411764706
60,1.0,135630,888189.2010000027,1751478912.509016,16,6.54861904445921,55511.82506250017,2176,2143,98.48345588235294
120,2.0,142799,774998.4080000032,1794705767.4090052,16,5.42719772547429,48437.4005000002,2176,2143,98.48345588235294
180,3.0,142917,697122.6599999983,1765064417.9340243,16,4.877814815592255,43570.16624999989,2176,2149,98.75919117647058
300,5.0,137425,539720.7489999962,1671056450.6920037,16,3.9273840203747223,33732.546812499764,2176,2149,98.75919117647058
600,10.0,118516,509803.9500000025,1449374158.6970096,16,4.301562236322543,31862.746875000157,2176,2155,99.03492647058823
