security,trades,pnl,position,entry_price
EMAAR,6807,321101.049999998,0,0
ALDAR,10635,527.4300000002605,0,0
ADNOCDRI,7204,27673.149999999758,0,0
ADNOCGAS,4985,163046.55000000005,0,0
ADNOCLS,4965,17120.759999999966,0,0
EAND,5816,22022.139999999912,0,0
ADCB,10536,5955.74000000023,0,0
ADIB,9617,-17245.919999999598,0,0
EMIRATES,9677,46155.75000000061,0,0
TALABAT,3120,102274.47800000045,0,0
SPINNEYS,493,9552.49,0,0
FAB,7332,7982.69999999982,0,0
SALIK,11631,81944.80000000086,0,0
PARKIN,4920,9097.590000000017,0,0
MULTIPLY,6534,175183.7500000001,0,0
MODON,2554,26588.080000000165,0,0
