security,trades,pnl,position,entry_price
EMAAR,21171,472097,0,0
ALDAR,18393,-27435,0,0
ADNOCDRI,12042,4875,0,0
ADNOCGAS,14448,255783,0,0
ADNOCLS,8742,1392,0,0
EAND,14114,-360,0,0
ADCB,21623,-51710,0,0
ADIB,19033,-34013,0,0
EMIRATES,18657,-34943,0,0
TALABAT,11313,274733,0,0
SPINNEYS,1524,10178,0,0
FAB,15203,-24957,0,0
SALIK,27745,-6066,0,0
PARKIN,10315,7924,0,0
MULTIPLY,15348,166458,0,0
MODON,6323,-2568,0,0
