security,trades,pnl,position,entry_price
EMAAR,21171,472097,0,0
ALDAR,18376,-27123,0,0
ADNOCDRI,12040,4513,0,0
ADNOCGAS,14423,254790,0,0
ADNOCLS,8731,1337,0,0
EAND,14095,-170,0,0
ADCB,21614,-51321,0,0
ADIB,19003,-34164,0,0
EMIRATES,18656,-34942,0,0
TALABAT,11305,279139,0,0
SPINNEYS,1523,10336,0,0
FAB,15198,-25032,0,0
SALIK,27744,-5849,0,0
PARKIN,10306,8769,0,0
MULTIPLY,15335,164562,0,0
MODON,6302,-746,0,0
