security,trades,pnl,position,market_dates,strategy_dates
EMAAR,11903,312211.0499999996,0,136,136
ALDAR,11102,-16229.390000000169,0,136,136
ADNOCDRI,7649,7431.8199999999415,0,136,136
ADNOCGAS,6529,171213.28000000073,0,136,136
ADNOCLS,5791,6201.939999999969,0,136,136
EAND,8348,13420.139999999723,0,136,135
ADCB,12861,-39066.67999999994,0,136,135
ADIB,12232,-25546.38000000038,0,136,136
EMIRATES,12210,19260.650000000045,0,136,136
TALABAT,5686,119067.28999999969,0,136,136
SPINNEYS,711,6181.499999999997,0,136,111
FAB,8920,-6022.600000000074,0,136,136
SALIK,18037,25529.769999999913,0,136,136
PARKIN,7371,-4478.07000000005,0,136,136
MULTIPLY,9400,97688.6199999994,0,136,136
MODON,4167,10259.719999999914,0,136,136
