security,trades,pnl,position
ADCB,13792,-18449.54000000018,0
ADIB,12979,-48526.219999999696,0
ADNOCDRI,8498,11974.349999999999,0
ADNOCGAS,7607,111411.99999999999,0
ADNOCLS,6042,9093.310000000127,0
