security,trades,pnl,position,market_dates,strategy_dates
EMAAR,11763,303913.74999999866,0,136,136
ALDAR,9823,-10208.059999999905,0,136,136
ADNOCDRI,6963,4905.769999999914,0,136,136
ADNOCGAS,6356,102805.97999999938,0,136,136
ADNOCLS,5482,8763.299999999972,0,136,136
EAND,8190,9929.739999999816,0,136,135
ADCB,11951,-54010.880000000136,0,136,135
ADIB,10824,-35863.8000000002,0,136,136
EMIRATES,11953,28736.8499999993,0,136,136
TALABAT,6175,64713.93899999981,0,136,136
SPINNEYS,736,7534.579999999991,0,136,111
FAB,8307,-7375.860000000042,0,136,136
SALIK,18511,13561.070000000072,0,136,136
PARKIN,7101,-2203.8299999999986,0,136,136
MULTIPLY,9138,88196.44999999947,0,136,136
MODON,4152,16321.750000000031,0,136,136
