security,trades,pnl,position,sharpe_ratio,max_drawdown,max_drawdown_pct,win_rate
SPINNEYS,1695,12910.94000000003,0,5.937041438419502,-853.2399999999943,-6.549781223612438,24.424778761061948
MODON,6374,-1838.800000000103,0,-0.38274961657475237,-7660.588583980645,-297.64422917546545,23.09381863821776
PARKIN,10706,9425.94000000003,0,2.7118407228736916,-5357.450336808324,-55.1239477240205,28.227162338875395
TALABAT,11568,255255.03500000024,0,8.873774342352489,-13141.37687025759,-5.116588620836589,22.130013831258644
ADNOCLS,8930,1322.6200000000485,0,0.3521772324039961,-3982.1399999999835,-215.5969312896837,21.198208286674134
MULTIPLY,16017,179718.61000000106,0,7.555482994428389,-10098.099999999919,-5.6048334077176545,23.699818942373728
EAND,14258,855.2399999998895,0,0.1992768692826158,-5584.500000000079,-158.22713080336501,25.669799410857063
EMIRATES,19184,-39453.54999999937,0,-2.2738389730134787,-48754.699999999604,-524.1792681549973,21.39282735613011
FAB,15362,-22707.80000000054,0,-4.235986585991917,-24682.980000000578,-1408.7494007260152,23.71436010936076
SALIK,29085,11353.160000001499,0,0.7984639485545081,-14528.22480286323,-67.81401689543507,27.306171566099362
ADIB,19333,-35431.19999999974,0,-5.470647325440539,-38779.03999999968,0.0,23.788341178296175
ADNOCGAS,14923,250352.02999999994,0,10.456599846431434,-13760.629999999772,-5.496512251168791,22.977953494605643
ADNOCDRI,12351,6787.0699999998715,0,1.2281481819578255,-7053.689999999857,-60.64033645087974,21.212857258521577
ADCB,21985,-59936.73999999993,0,-5.390588418532997,-64196.5061793898,-1885.658993772668,22.43802592676825
EMAAR,22076,466583.9999999991,0,7.368014862495102,-30232.450000001176,-6.288202204540573,22.408950896901615
ALDAR,18897,-27358.900000000165,0,-7.34810509162514,-27943.95170202806,-20636.290131177255,21.405514102767633
