security,trades,pnl,position
ADCB,21985,-59936.73999999993,0
ADIB,19333,-35431.19999999974,0
ADNOCDRI,12351,6787.0699999998715,0
ADNOCGAS,14923,250352.02999999994,0
ADNOCLS,8930,1322.6200000000485,0
