security,trades,pnl,position,market_dates,strategy_dates
EMAAR,6755,332585.69999999844,0,136,136
ALDAR,11304,-4084.5099999999197,0,136,136
ADNOCDRI,6935,20981.479999999934,0,136,136
ADNOCGAS,4983,211779.4100000008,0,136,136
ADNOCLS,5284,15438.369999999955,0,136,136
EAND,6160,16246.359999999668,0,136,135
ADCB,11212,4638.799999999233,0,136,135
ADIB,10380,-29345.379999999754,0,136,136
EMIRATES,10063,43385.14999999972,0,136,136
TALABAT,3204,87199.61399999999,0,136,133
SPINNEYS,534,10217.830000000005,0,136,104
FAB,7753,10569.399999999876,0,136,136
SALIK,11579,61490.75000000023,0,136,136
PARKIN,5251,10491.620000000205,0,136,136
MULTIPLY,6820,196801.9700000001,0,136,136
MODON,2847,25687.190000000002,0,136,135
