security,trades,pnl,position,entry_price
EMAAR,23411,594177.5999999985,0,0
ALDAR,21807,-26429.579999999878,0,0
ADNOCDRI,14481,9888.689999999633,0,0
ADNOCGAS,16987,308332.99000000214,0,0
ADNOCLS,9923,1446.1400000001415,0,0
EAND,15804,1037.860000000133,0,0
ADCB,24956,-63422.61999999912,0,0
ADIB,21780,-43716.0400000006,0,0
EMIRATES,21201,-38205.19999999998,0,0
TALABAT,12522,303214.73899999814,0,0
SPINNEYS,1585,13055.690000000037,0,0
FAB,17328,-20417.8999999999,0,0
SALIK,31201,-6574.849999998536,0,0
PARKIN,11352,8646.899999999998,0,0
MULTIPLY,17755,198639.19000000015,0,0
MODON,6960,2658.180000000069,0,0
