security,trades,pnl,position,entry_price
EMAAR,22408,555789.3000000019,0,0
ALDAR,20022,-24712.10000000014,0,0
ADNOCDRI,13032,9964.619999999506,0,0
ADNOCGAS,15544,289551.6000000013,0,0
ADNOCLS,9368,718.5900000002692,0,0
EAND,15087,1245.5999999999387,0,0
ADCB,23372,-56526.19999999888,0,0
ADIB,20246,-39730.74000000023,0,0
EMIRATES,19966,-43141.099999999016,0,0
TALABAT,11871,273476.2309999983,0,0
SPINNEYS,1552,11158.630000000074,0,0
FAB,16244,-26789.219999999917,0,0
SALIK,29475,-13774.279999998193,0,0
PARKIN,10907,8830.740000000093,0,0
MULTIPLY,16475,171271.5400000024,0,0
MODON,6669,2327.1899999999946,0,0
