security,trades,pnl,position,entry_price
EMAAR,21212,452119,0,0
ALDAR,18402,-28424,0,0
ADNOCDRI,12074,5186,0,0
ADNOCGAS,14428,250828,0,0
ADNOCLS,8779,805,0,0
EAND,14129,-868,0,0
ADCB,21699,-59284,0,0
ADIB,19065,-37311,0,0
EMIRATES,18752,-59039,0,0
TALABAT,11395,212880,0,0
SPINNEYS,1560,6768,0,0
FAB,15238,-27329,0,0
SALIK,27911,-20839,0,0
PARKIN,10398,1820,0,0
MULTIPLY,15517,122848,0,0
MODON,6416,-7628,0,0
