security,trades,pnl,position,market_dates,strategy_dates
EMAAR,11289,292630.9000000014,0,136,136
ALDAR,7313,-14436.130000000008,0,136,136
ADNOCDRI,6102,-3134.990000000151,0,136,136
ADNOCGAS,5871,134686.25000000015,0,136,136
ADNOCLS,4727,2609.6399999999594,0,136,136
EAND,7197,5401.219999999894,0,136,135
ADCB,9212,-32825.79999999977,0,136,135
ADIB,8827,-33138.540000000066,0,136,136
EMIRATES,10188,7252.250000000035,0,136,136
TALABAT,6232,106632.89999999995,0,136,136
SPINNEYS,844,4921.210000000018,0,136,117
FAB,6889,-9063.639999999814,0,136,136
SALIK,16160,8662.10999999988,0,136,136
PARKIN,6473,-5283.719999999998,0,136,136
MULTIPLY,7568,32216.080000000937,0,136,136
MODON,3624,12674.210000000045,0,136,136
