interval_sec,V2_pnl,V2_trades,V2_sharpe,V2_dd_pct,V2_win_pct,V21_pnl,V21_trades,V21_sharpe,V21_dd_pct,V21_win_pct
5,1319147.870999997,283309,14.187523977501211,-103.4016669035829,23.55202270312627,1408863.9209999968,283781,14.956942539954676,-100.95616137928477,23.640765237982812
10,1273433.3100000015,277212,13.915268707596542,-104.0787110367723,23.63642266568547,1365515.610000001,277624,14.797333600383562,-101.20184390978508,23.747586663977177
30,1126098.5900000068,259905,12.881425363382373,-104.53521090531848,23.720974971624248,1216260.0900000075,260296,13.702538774421225,-101.0670811505808,23.840934935611767
60,1007837.6550000019,242744,11.274439577007096,-105.78404074208505,23.514072438453677,1100645.1950000017,243103,12.047405120066298,-101.91256852499953,23.654582625471505
