strategy,interval_sec,total_trades,total_pnl,sharpe_ratio,max_drawdown,max_drawdown_pct,calmar_ratio,win_rate,profit_factor,avg_pnl_per_trade,elapsed_sec,securities
v2,5,283309,1319147.870999997,14.187523977501211,-664128.9499999939,-103.4016669035829,1.9862827407237844,23.55202270312627,1.4417863723407036,4.656215902071579,34.05432176589966,16
v2,10,277212,1273433.3100000015,13.915268707596542,-633759.7299999972,-104.0787110367723,2.0093313754725424,23.63642266568547,1.4355686356155537,4.593716397558553,37.091285705566406,16
v2,30,259905,1126098.5900000068,12.881425363382373,-573919.3194475942,-104.53521090531848,1.9621200260062568,23.720974971624248,1.4058328050630458,4.332731536522987,38.34406852722168,16
v2,60,242744,1007837.6550000019,11.274439577007096,-508589.04000000004,-105.78404074208505,1.9816346317647777,23.514072438453677,1.3821088615989559,4.151854031407582,38.01527786254883,16
v2_1,5,283781,1408863.9209999968,14.956942539954676,-648421.9399999933,-100.95616137928477,2.172757943693286,23.640765237982812,1.466305749203371,4.964616803098153,41.39680862426758,16
v2_1,10,277624,1365515.610000001,14.797333600383562,-616241.8099999973,-101.20184390978508,2.2158762807736254,23.747586663977177,1.4622714472494325,4.918579121401612,40.61125636100769,16
v2_1,30,260296,1216260.0900000075,13.702538774421225,-554878.5900000037,-101.0670811505808,2.1919391231152017,23.840934935611767,1.4333756866256804,4.672603843316868,42.373865842819214,16
v2_1,60,243103,1100645.1950000017,12.047405120066298,-489975.7565173352,-101.91256852499953,2.246325824002399,23.654582625471505,1.4138903118694488,4.527485037206459,38.671560525894165,16
