security,scenario,strategy,interval_sec,pnl,trades
SALIK,v2_1_30s,v2_1,30,1162.9700000013702,31031
ADNOCGAS,v2_1_30s,v2_1,30,342671.0499999995,16211
ADIB,v2_1_30s,v2_1,30,-24937.32000000028,20626
ADNOCDRI,v2_1_30s,v2_1,30,15537.659999999623,13423
ADCB,v2_1_30s,v2_1,30,-50729.19999999926,23816
EMAAR,v2_1_30s,v2_1,30,535446.6500000039,23378
ALDAR,v2_1_30s,v2_1,30,4076.939999999785,20724
SPINNEYS,v2_1_60s,v2_1,60,11878.230000000025,1696
MODON,v2_1_60s,v2_1,60,-950.3000000001016,6380
PARKIN,v2_1_60s,v2_1,60,7277.020000000008,10738
TALABAT,v2_1_60s,v2_1,60,243108.56500000012,11564
EAND,v2_1_60s,v2_1,60,4195.559999999948,14269
ADNOCLS,v2_1_60s,v2_1,60,3639.740000000042,8960
MULTIPLY,v2_1_60s,v2_1,60,179024.43000000092,16032
EMIRATES,v2_1_60s,v2_1,60,-36145.49999999937,19200
FAB,v2_1_60s,v2_1,60,-20064.260000000562,15370
SALIK,v2_1_60s,v2_1,60,8176.410000001683,29107
ADIB,v2_1_60s,v2_1,60,-21054.079999999674,19369
ADNOCGAS,v2_1_60s,v2_1,60,297221.1699999998,14980
ADNOCDRI,v2_1_60s,v2_1,60,8850.73999999993,12380
ADCB,v2_1_60s,v2_1,60,-46470.23999999995,22009
EMAAR,v2_1_60s,v2_1,60,466583.9999999991,22076
ALDAR,v2_1_60s,v2_1,60,-4626.2900000001955,18973
