security,trades,pnl,position
ADCB,13141,-24810.559999999976,0
ADIB,12061,-27299.819999999912,0
ADNOCDRI,8244,22049.170000000002,0
ADNOCGAS,7077,148515.6399999999,0
ADNOCLS,5782,13976.809999999898,0
