security,trades,pnl,position,sharpe_ratio,max_drawdown,max_drawdown_pct,win_rate
SPINNEYS,1729,13723.090000000017,0,6.025990091321035,-875.7299999999987,-6.3279175382881,24.06015037593985
MODON,6793,744.9299999999473,0,0.15628922210712734,-5878.990000000004,-210.39222703361014,23.097306050345946
PARKIN,11295,9305.059999999998,0,2.636115116742538,-5374.351578398186,-57.713512910037565,28.322266489597165
TALABAT,12090,257831.0900000001,0,8.580309690782764,-12483.020000000084,-4.761602097287932,21.786600496277917
ADNOCLS,9598,1157.5100000002792,0,0.3111755090210672,-5545.049999999823,-377.4967662876546,21.754532194207126
EAND,15240,3458.5399999998212,0,0.7746984528717397,-4397.900000000014,-78.45267401619932,26.00393700787402
MULTIPLY,17255,192010.01000000178,0,7.677396310930326,-9406.967107030447,-4.887781002032571,23.007823819182846
FAB,16419,-26053.460000000086,0,-4.389814428474163,-27116.777337499945,-2921.1935099623793,23.795602655460137
EMIRATES,20532,-43551.0499999994,0,-2.4909018007250356,-52392.44999999988,-592.5809260976489,21.405610753945062
SALIK,31020,2773.9200000014566,0,0.19681578415392575,-18576.536368847035,-107.6404803434706,27.117988394584142
ADIB,20601,-39977.68000000034,0,-6.0939792484835325,-42104.60000000009,0.0,23.139653414882773
ADNOCGAS,16138,295573.38999999955,0,12.39296004305527,-11815.040000000066,-3.997328717581793,23.249473292849178
ADNOCDRI,13379,11411.219999999581,0,1.8982325647702656,-6946.1500000000815,-51.79515629555692,21.668286120038868
ADCB,23798,-63506.33999999929,0,-5.061342954402541,-68183.57840384598,-1830.176931442517,23.275065131523657
EMAAR,23378,535446.6500000039,0,7.939241510315751,-20476.250000000116,-3.7295993352520207,23.73599110274617
ALDAR,20640,-24248.290000000292,0,-6.743179663490895,-25059.369447590474,-15647.436433088544,22.252906976744185
