security,trades,pnl,position,market_dates,strategy_dates
EMAAR,9916,370190.25000000105,0,136,136
ALDAR,12209,-13279.65999999969,0,136,136
ADNOCDRI,7687,18205.620000000035,0,136,136
ADNOCGAS,6050,135846.81000000038,0,136,136
ADNOCLS,5829,7668.329999999897,0,136,136
EAND,7654,20230.04000000002,0,136,135
ADCB,12969,-7651.760000000083,0,136,135
ADIB,12326,-4077.019999999337,0,136,136
EMIRATES,11947,59461.299999999996,0,136,136
TALABAT,4586,98306.06100000037,0,136,136
SPINNEYS,602,7342.379999999995,0,136,106
FAB,8736,4387.680000000019,0,136,136
SALIK,15734,42402.38999999999,0,136,136
PARKIN,6361,-2285.1799999999353,0,136,136
MULTIPLY,9199,131811.93999999994,0,136,136
MODON,3825,19630.020000000008,0,136,135
