security,trades,pnl,position,entry_price
EMAAR,12606,353454.1500000014,0,0
ALDAR,12172,-17127.179999999997,0,0
ADNOCDRI,8195,13239.859999999873,0,0
ADNOCGAS,6935,105273.13000000108,0,0
ADNOCLS,5798,8742.579999999965,0,0
EAND,7899,14937.50000000025,0,0
ADCB,13393,-14788.360000000455,0,0
ADIB,12546,-44699.31999999978,0,0
EMIRATES,12853,40289.400000000234,0,0
TALABAT,5515,98205.16099999927,0,0
SPINNEYS,596,6378.609999999985,0,0
FAB,8836,-1001.0999999998432,0,0
SALIK,18533,28632.65999999938,0,0
PARKIN,6715,5373.420000000161,0,0
MULTIPLY,10187,114316.81999999989,0,0
MODON,3853,26320.07000000004,0,0
