timestamp,side,price,quantity,realized_pnl,trade_type,vwap_reference,security
2025-04-15 14:55:00,buy,16.66,35194,0.0,auction_entry,16.739555351064173,ADIB
2025-04-16 10:00:00,sell,16.78,9,1.080000000000009,vwap_exit,16.740000000000002,ADIB
2025-04-16 10:00:00,sell,16.78,16,1.920000000000016,vwap_exit,16.740000000000002,ADIB
2025-04-16 12:55:08,sell,16.32,35169,-11957.459999999995,stop_loss,16.66,ADIB
2025-04-16 14:55:00,sell,16.4,18468,0.0,auction_entry,16.322450560705935,ADIB
2025-04-17 10:23:57,buy,16.32,55,4.399999999999906,vwap_exit,16.32,ADIB
2025-04-17 10:23:57,buy,16.32,35,2.7999999999999403,vwap_exit,16.32,ADIB
2025-04-17 10:23:57,buy,16.32,3945,315.59999999999326,vwap_exit,16.32,ADIB
2025-04-17 10:23:57,buy,16.32,1020,81.59999999999826,vwap_exit,16.32,ADIB
2025-04-17 10:24:13,buy,16.32,789,63.119999999998655,vwap_exit,16.32,ADIB
2025-04-17 10:24:13,buy,16.32,1022,81.75999999999826,vwap_exit,16.32,ADIB
2025-04-17 10:26:17,buy,16.32,310,24.79999999999947,vwap_exit,16.32,ADIB
2025-04-17 10:26:24,buy,16.32,262,20.959999999999553,vwap_exit,16.32,ADIB
2025-04-17 10:26:24,buy,16.32,4331,346.47999999999263,vwap_exit,16.32,ADIB
2025-04-17 10:28:21,buy,16.3,907,90.69999999999807,vwap_exit,16.32,ADIB
2025-04-17 10:28:21,buy,16.3,1008,100.79999999999785,vwap_exit,16.32,ADIB
2025-04-17 10:28:21,buy,16.3,27,2.6999999999999424,vwap_exit,16.32,ADIB
2025-04-17 10:28:21,buy,16.3,2058,205.7999999999956,vwap_exit,16.32,ADIB
2025-04-17 10:28:27,buy,16.3,2699,269.89999999999424,vwap_exit,16.32,ADIB
2025-04-21 14:55:00,sell,16.42,6318,0.0,auction_entry,16.307544267572883,ADIB
2025-04-22 10:20:48,buy,16.3,400,48.0000000000004,vwap_exit,16.3,ADIB
2025-04-22 10:20:50,buy,16.3,101,12.1200000000001,vwap_exit,16.3,ADIB
2025-04-22 10:20:50,buy,16.3,552,66.24000000000055,vwap_exit,16.3,ADIB
2025-04-22 10:22:47,buy,16.3,500,60.0000000000005,vwap_exit,16.3,ADIB
2025-04-22 14:55:00,buy,16.5,4765,-381.19999999999186,eod_flatten,16.3,ADIB
2025-04-24 14:55:00,buy,18.04,63587,0.0,auction_entry,18.14609435949332,ADIB
2025-04-25 10:17:46,sell,18.18,1000,140.00000000000057,vwap_exit,18.14,ADIB
2025-04-25 10:18:14,sell,18.14,5000,500.0000000000071,vwap_exit,18.14,ADIB
2025-04-25 14:55:00,sell,17.64,57587,-23034.79999999992,eod_flatten,18.14,ADIB
2025-05-01 14:55:00,sell,18.46,12393,0.0,auction_entry,18.36909751002473,ADIB
2025-05-02 10:09:53,buy,18.36,1571,157.10000000000224,vwap_exit,18.36,ADIB
2025-05-02 10:09:53,buy,18.36,516,51.60000000000073,vwap_exit,18.36,ADIB
2025-05-02 10:10:20,buy,18.34,2310,277.2000000000023,vwap_exit,18.36,ADIB
2025-05-02 10:11:20,buy,18.34,2117,254.0400000000021,vwap_exit,18.36,ADIB
2025-05-02 10:11:20,buy,18.34,4854,582.4800000000048,vwap_exit,18.36,ADIB
2025-05-02 10:11:20,buy,18.34,766,91.92000000000075,vwap_exit,18.36,ADIB
2025-05-02 10:11:20,buy,18.34,259,31.080000000000258,vwap_exit,18.36,ADIB
2025-05-29 14:55:00,sell,19.5,70829,0.0,auction_entry,19.402732890603236,ADIB
2025-05-30 10:05:22,buy,19.4,240,24.00000000000034,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:22,buy,19.4,1375,137.50000000000196,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:22,buy,19.4,1234,123.40000000000175,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:22,buy,19.4,31,3.100000000000044,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:22,buy,19.4,233,23.30000000000033,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:22,buy,19.4,517,51.700000000000735,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:22,buy,19.4,2985,298.50000000000426,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:22,buy,19.4,500,50.00000000000071,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:23,buy,19.4,1,0.10000000000000142,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:05:23,buy,19.4,1173,117.30000000000166,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:07:54,buy,19.34,2900,464.0000000000004,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:07:54,buy,19.34,100,16.000000000000014,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:08:10,buy,19.34,4619,739.0400000000006,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:08:10,buy,19.34,1692,270.72000000000025,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:14:21,buy,19.4,5000,500.0000000000071,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:14:51,buy,19.4,162,16.20000000000023,vwap_exit,19.400000000000002,ADIB
2025-05-30 10:14:51,buy,19.4,1149,114.90000000000163,vwap_exit,19.400000000000002,ADIB
