security,trades,pnl,position,entry_price
EMAAR,13480,291860.0499999992,0,0
ALDAR,8782,-12293.08999999998,0,0
ADNOCDRI,6911,3278.6700000000583,0,0
ADNOCGAS,7095,44957.50000000022,0,0
ADNOCLS,5333,1628.2999999998724,0,0
EAND,7917,8119.640000000073,0,0
ADCB,10993,-51443.159999999996,0,0
ADIB,10210,-46109.81999999929,0,0
EMIRATES,11833,18227.199999999913,0,0
TALABAT,7156,66142.35999999974,0,0
SPINNEYS,779,6448.6699999999855,0,0
FAB,7694,-3603.9800000001833,0,0
SALIK,19719,30624.91999999948,0,0
PARKIN,7394,-2242.509999999813,0,0
MULTIPLY,9028,62885.12999999978,0,0
MODON,3947,19053.83000000009,0,0
