security,trades,pnl,position,sharpe_ratio,max_drawdown,max_drawdown_pct,win_rate
SPINNEYS,1767,14720.800000000025,0,5.918500281728794,-875.2300000000009,-5.9256596234166565,25.353706847764574
MODON,7120,437.1399999999737,0,0.08767940919524563,-7282.840000000002,-357.7402384332439,22.5561797752809
PARKIN,11784,8312.399999999972,0,1.8291935420947676,-8702.355224535822,-104.31086082057655,28.8357094365241
TALABAT,12747,270393.1799999995,0,8.205776899954078,-16421.991644778638,-6.009567463441111,21.91888287440182
MULTIPLY,18711,226755.7100000014,0,8.421592209448999,-11026.869999999908,-4.853273132729847,23.55833466944578
EAND,15975,5538.59999999977,0,1.2187292179201794,-6305.479999999992,-78.61057502904968,25.40845070422535
ADNOCLS,10217,4718.1200000003,0,1.146715881588552,-5146.809999999966,-104.12067681949146,21.865518253890574
EMIRATES,21788,-44701.90000000016,0,-2.551740152421998,-53443.0000000001,-611.399023006271,22.099320727005693
FAB,17554,-17308.540000000005,0,-2.7631018796691205,-18346.900000000012,-2060.060633280951,23.66412213740458
SALIK,32718,9841.300000001282,0,0.687329547662873,-17568.81068019102,-105.2285592626465,27.342747111681643
ADNOCGAS,17643,353334.5200000003,0,11.331039626181116,-16428.519999999902,-4.645081669334278,22.59819758544465
ADIB,22208,-24460.440000000734,0,-2.627640806972101,-31814.12395789533,-82505.50818956432,23.401476945244955
ADNOCDRI,14936,15435.96999999947,0,2.7176711044498543,-5290.080000000179,-32.917387878003886,22.03401178361007
ADCB,25449,-56482.739999999394,0,-4.60957924462194,-62955.499999999716,-1257.038400715543,23.40759951275099
EMAAR,24424,597345.6499999992,0,8.580423456447367,-20412.621094841423,-3.3522472190417223,23.37045528987881
ALDAR,22583,1635.840000000028,0,0.26209255857291036,-7700.647218870139,-438.67833446526146,21.817296196253817
