security,trades,pnl,position,entry_price
EMAAR,19342,407903.6999999988,0,0
ALDAR,15939,-29144.790000000106,0,0
ADNOCDRI,10879,2869.009999999616,0,0
ADNOCGAS,13145,192895.27999999988,0,0
ADNOCLS,7983,-1970.2100000001078,0,0
EAND,12704,-5675.340000000405,0,0
ADCB,19016,-44142.50000000013,0,0
ADIB,16881,-36270.459999999846,0,0
EMIRATES,17123,-53210.749999999614,0,0
TALABAT,10494,243894.89800000063,0,0
SPINNEYS,1497,9347.170000000062,0,0
FAB,13525,-19296.240000000253,0,0
SALIK,24846,-10442.349999999755,0,0
PARKIN,9561,11099.58000000005,0,0
MULTIPLY,13703,131552.6300000007,0,0
MODON,5782,-1652.1299999999553,0,0
