strategy,interval_sec,interval_min,total_trades,total_pnl,total_volume,securities_traded,avg_pnl_per_trade,avg_pnl_per_security,avg_trade_size,trading_days,trades_per_day,sharpe_ratio,max_drawdown,max_drawdown_pct,drawdown_duration_days,calmar_ratio,win_rate,loss_rate,avg_win,avg_loss,profit_factor,total_wins,total_losses,stop_loss_threshold_pct
v2,60,1.0,235822,1016197.414000002,5828411472.09409,16,4.309171383501123,63512.33837500012,24715.299980892753,136,1733.985294117647,12.43868263626749,-20056.72000000172,-2.9662383325395703,10,63479525.9425909,23.373137366318662,19.095334616787238,63.8953015452955,-55.64272860640761,1.4055627649425284,55119,45031,1.0
v2,60,1.0,235822,1016197.414000002,5828411472.09409,16,4.309171383501123,63512.33837500012,24715.299980892753,136,1733.985294117647,12.43868263626749,-20056.72000000172,-2.9662383325395703,10,63479525.9425909,23.373137366318662,19.095334616787238,63.8953015452955,-55.64272860640761,1.4055627649425284,55119,45031,1.5
v2,60,1.0,235822,1016197.414000002,5828411472.09409,16,4.309171383501123,63512.33837500012,24715.299980892753,136,1733.985294117647,12.43868263626749,-20056.72000000172,-2.9662383325395703,10,63479525.9425909,23.373137366318662,19.095334616787238,63.8953015452955,-55.64272860640761,1.4055627649425284,55119,45031,2.0
v2,60,1.0,235822,1016197.414000002,5828411472.09409,16,4.309171383501123,63512.33837500012,24715.299980892753,136,1733.985294117647,12.43868263626749,-20056.72000000172,-2.9662383325395703,10,63479525.9425909,23.373137366318662,19.095334616787238,63.8953015452955,-55.64272860640761,1.4055627649425284,55119,45031,2.5
v2_1,60,1.0,236975,812532.7120000005,5892190413.592086,16,3.4287697520835554,50783.29450000003,24864.185730950885,136,1742.4632352941176,9.50649133692979,-44301.50199999323,-5.4156928376948565,25,27800234.696009,23.455638780462074,18.52051904209305,64.33496824432123,-62.964801268936405,1.294027080562439,55584,43889,1.0
v2_1,60,1.0,236217,953295.348000001,5842691339.7360935,16,4.035676297641579,59580.959250000065,24734.42360090973,136,1736.889705882353,11.365235124961893,-23844.579999998386,-5.315194584464306,20,33233029.865172632,23.37808032444744,19.017682893271864,63.98125475542327,-57.430302592407855,1.3695027015724939,55223,44923,1.5
v2_1,60,1.0,236061,993528.4940000013,5835173798.034093,16,4.2087786377250005,62095.530875000084,24718.92349025927,136,1735.7426470588234,11.959240202642468,-20100.250000001746,-3.0364140064261806,10,60629079.32295398,23.366841621445307,19.066258297643408,63.92108213758011,-56.26462843736486,1.3923332871410312,55160,45008,2.0
v2_1,60,1.0,235994,1011387.2940000021,5832169363.854093,16,4.28564833851709,63211.70587500013,24713.210352187314,136,1735.25,12.343891811386298,-20100.250000001863,-2.985604411533874,10,62769238.79037833,23.35822097171962,19.09243455342085,63.91736564627113,-55.751460813748096,1.4026233610328405,55124,45057,2.5
