strategy,interval_sec,security,trades,pnl,volume,position,avg_pnl_per_trade,sharpe_ratio,max_drawdown,max_drawdown_pct,calmar_ratio,win_rate,profit_factor,trading_days,trades_per_day,stop_loss_threshold_pct
v2,60,EMAAR,21171,472096.79999999836,1460693813.2,0,22.299220631996523,7.800663097174966,-24405.950000000244,-5.13206375160817,17045142.89647871,23.244060271125598,1.841543455506526,136,155.6691176470588,1.0
v2,60,ALDAR,18376,-27123.139999999978,257192743.82,0,-1.4760089246843697,-7.294842940522539,-26538.120000000043,2686.833179779479,-1870.5137080859288,20.924031345232912,0.7163811435114026,136,135.11764705882354,1.0
v2,60,ADNOCDRI,12040,4513.2299999999095,166632329.15,0,0.3748529900332151,0.8387742837384449,-7422.220000000049,-68.73170519398964,12167.237350330503,20.63953488372093,1.0650688203466385,136,88.52941176470588,1.0
v2,60,ADNOCGAS,14423,254790.4400000001,705091299.06,0,17.66556472301186,10.804140178595247,-10249.769999999786,-4.282744173289728,11023579.241353841,22.90785550856271,2.5856058021212154,136,106.05147058823529,1.0
v2,60,ADNOCLS,8731,1336.9100000000271,109613535.07,0,0.15312220822357428,0.43110169049954167,-4102.440000000102,-374.51182662196004,661.4518987502885,21.18886725461001,1.0269220856260781,136,64.19852941176471,1.0
v2,60,EAND,14095,-170.25999999992882,216874953.66,0,-0.012079460801697682,-0.04029063481976444,-5249.0800000000945,-125.1443584571837,-253.9616412475083,25.491308974813766,0.9976782251595675,135,104.4074074074074,1.0
v2,60,ADCB,21614,-51320.579999999725,405394369.78,0,-2.3744138058665554,-4.681690311759235,-58122.719999999834,-944.4153413189771,-10143.674272191154,22.65198482465069,0.7595140089303848,135,160.1037037037037,1.0
v2,60,ADIB,19003,-34163.91999999966,318302787.68,0,-1.7978171867599675,-5.3110883727923,-36594.13999999973,17480.72035922552,-362.1345849413922,23.780455717518286,0.7370113110142391,136,139.72794117647058,1.0
v2,60,EMIRATES,18656,-34941.70000000006,409922976.2,0,-1.8729470411663842,-2.173457028291728,-43849.499999999985,-492.25959271650055,-13152.595838425867,21.69811320754717,0.8615081704084862,136,137.1764705882353,1.0
v2,60,TALABAT,11305,279139.1840000002,307736171.644,0,24.69165714285716,9.65909709593787,-9805.109999999971,-18.81439733297138,2749110.050384551,22.34409553295002,2.9123039222592415,136,83.125,1.0
v2,60,SPINNEYS,1523,10336.100000000068,12088630.88,0,6.786671043992166,5.021220943227119,-958.3599999999892,-20.096038918827773,98191.26358760905,22.58699934340118,2.073004224196576,132,11.537878787878787,1.0
v2,60,FAB,15198,-25031.54000000019,267312755.78,0,-1.647028556389011,-4.561450370973391,-25997.900000000187,-2690.2914027898814,-1724.0500835103628,23.58205026977234,0.7756319038066294,136,111.75,1.0
v2,60,SALIK,27744,-5849.179999997876,481242440.8,0,-0.21082684544398342,-0.40185747671577543,-17990.03999999835,-237.84928665200687,-4556.74541771551,26.45617070357555,0.975865953617633,136,204.0,1.0
v2,60,PARKIN,10306,8768.79000000005,85975149.13,0,0.8508431981370124,2.6454685008590557,-4266.580000000058,-146.80452809413958,11067.813963070936,28.148651271104214,1.181750908463306,136,75.77941176470588,1.0
v2,60,MULTIPLY,15335,164561.78000000058,526747930.82,0,10.731123573524656,7.436836457947367,-9681.649999999849,-9.378307699624676,3251368.029303404,23.227910009781546,1.5898619484809422,136,112.75735294117646,1.0
v2,60,MODON,6302,-745.5000000000475,97589585.42,0,-0.11829577911774794,-0.15652151013019835,-5883.410000000042,-263.0585636742482,-525.1179158605472,22.23103776578864,0.9882809276752125,136,46.338235294117645,1.0
v2,60,EMAAR,21171,472096.79999999836,1460693813.2,0,22.299220631996523,7.800663097174966,-24405.950000000244,-5.13206375160817,17045142.89647871,23.244060271125598,1.841543455506526,136,155.6691176470588,1.5
v2,60,ALDAR,18376,-27123.139999999978,257192743.82,0,-1.4760089246843697,-7.294842940522539,-26538.120000000043,2686.833179779479,-1870.5137080859288,20.924031345232912,0.7163811435114026,136,135.11764705882354,1.5
v2,60,ADNOCDRI,12040,4513.2299999999095,166632329.15,0,0.3748529900332151,0.8387742837384449,-7422.220000000049,-68.73170519398964,12167.237350330503,20.63953488372093,1.0650688203466385,136,88.52941176470588,1.5
v2,60,ADNOCGAS,14423,254790.4400000001,705091299.06,0,17.66556472301186,10.804140178595247,-10249.769999999786,-4.282744173289728,11023579.241353841,22.90785550856271,2.5856058021212154,136,106.05147058823529,1.5
v2,60,ADNOCLS,8731,1336.9100000000271,109613535.07,0,0.15312220822357428,0.43110169049954167,-4102.440000000102,-374.51182662196004,661.4518987502885,21.18886725461001,1.0269220856260781,136,64.19852941176471,1.5
v2,60,EAND,14095,-170.25999999992882,216874953.66,0,-0.012079460801697682,-0.04029063481976444,-5249.0800000000945,-125.1443584571837,-253.9616412475083,25.491308974813766,0.9976782251595675,135,104.4074074074074,1.5
v2,60,ADCB,21614,-51320.579999999725,405394369.78,0,-2.3744138058665554,-4.681690311759235,-58122.719999999834,-944.4153413189771,-10143.674272191154,22.65198482465069,0.7595140089303848,135,160.1037037037037,1.5
v2,60,ADIB,19003,-34163.91999999966,318302787.68,0,-1.7978171867599675,-5.3110883727923,-36594.13999999973,17480.72035922552,-362.1345849413922,23.780455717518286,0.7370113110142391,136,139.72794117647058,1.5
v2,60,EMIRATES,18656,-34941.70000000006,409922976.2,0,-1.8729470411663842,-2.173457028291728,-43849.499999999985,-492.25959271650055,-13152.595838425867,21.69811320754717,0.8615081704084862,136,137.1764705882353,1.5
