security,trades,pnl,position,entry_price
EMAAR,21171,472096.79999999836,0,0
ALDAR,18376,-27123.139999999978,0,0
ADNOCDRI,12040,4513.2299999999095,0,0
ADNOCGAS,14423,254790.4400000001,0,0
ADNOCLS,8731,1336.9100000000271,0,0
EAND,14095,-170.25999999992882,0,0
ADCB,21614,-51320.579999999725,0,0
ADIB,19003,-34163.91999999966,0,0
EMIRATES,18656,-34941.70000000006,0,0
TALABAT,11305,279139.1840000002,0,0
SPINNEYS,1523,10336.100000000068,0,0
FAB,15198,-25031.54000000019,0,0
SALIK,27744,-5849.179999997876,0,0
PARKIN,10306,8768.79000000005,0,0
MULTIPLY,15335,164561.78000000058,0,0
MODON,6302,-745.5000000000475,0,0
