security,trades,pnl,position,entry_price
EMAAR,21170,462248,0,0
ALDAR,18393,-27396,0,0
ADNOCDRI,12046,4187,0,0
ADNOCGAS,14456,255487,0,0
ADNOCLS,8743,1939,0,0
EAND,14117,137,0,0
ADCB,21657,-51419,0,0
ADIB,19029,-33064,0,0
EMIRATES,18668,-40565,0,0
TALABAT,11343,251021,0,0
SPINNEYS,1536,7454,0,0
FAB,15210,-25198,0,0
SALIK,27775,-5538,0,0
PARKIN,10363,6597,0,0
MULTIPLY,15373,150445,0,0
MODON,6338,-3039,0,0
