security,trades,pnl,position,sharpe_ratio,max_drawdown,max_drawdown_pct,win_rate
SPINNEYS,1790,15111.880000000034,0,5.9765225177637715,-841.7500000000041,-5.561615831923263,25.251396648044693
MODON,7229,-334.0400000001148,0,-0.06527693866223126,-8124.060000000035,-415.24495898183903,22.036242910499375
PARKIN,11876,9217.480000000127,0,2.0295251314801,-8597.235295810853,-92.28935141116052,28.864937689457733
TALABAT,12886,262969.401,0,7.969341726072207,-16421.991644778638,-6.12382187864894,21.05385689896011
MULTIPLY,19286,249324.88000000006,0,8.746395146512121,-13398.77999999965,-5.364361812227067,23.472985585398735
ADNOCLS,10414,3576.7200000001835,0,0.8476579603429315,-5149.856888482605,-137.08386274415864,21.893604762819283
EAND,16296,4930.96000000006,0,1.052370031420278,-6658.01999999991,-87.88461975481334,25.39273441335297
EMIRATES,22322,-40934.40000000078,0,-2.2924250534649593,-51953.40000000102,-471.4892458480882,21.937998387241286
FAB,17968,-21629.2400000002,0,-3.3182805247195115,-22797.820000000193,-3269.067079640962,23.258014247551202
SALIK,33413,9534.000000001322,0,0.6373891315468221,-21502.430680191108,-133.8566959702383,27.417472241343187
ADIB,22690,-28664.840000000535,0,-3.095570541511177,-35550.96393684223,-92196.48323870069,23.217276333186426
ADNOCGAS,18070,355121.1400000015,0,10.924630775591428,-21628.969999999623,-6.090589256387135,22.73381294964029
ADNOCDRI,14918,15349.889999999628,0,2.7207378878126542,-5597.370000000139,-35.46814604534648,22.14774098404612
ADCB,26074,-58209.55999999977,0,-4.784055361269182,-64349.94497115375,-1336.8958717574958,22.846513768505027
EMAAR,25122,629068.9499999959,0,9.038016051777001,-21346.623646845197,-3.3235661054186143,23.425682668577345
ALDAR,23427,4430.69999999966,0,0.6821205967022227,-7583.490000000484,-167.7503483973948,22.188073590301787
