strategy,interval_sec,security,trades,pnl,volume,position,avg_pnl_per_trade,sharpe_ratio,max_drawdown,max_drawdown_pct,calmar_ratio,win_rate,profit_factor,trading_days,trades_per_day
v1,10,EMAAR,6807,321101,297581361.55,0,47.17218304686323,5.216680820559533,-37184.69999999966,-11.07504449338593,5372270.582824879,27.97120611135596,1.769387569107003,136,50.0514705882353
v1,10,ALDAR,10635,527,80579600.39,0,0.0495937940761881,0.1402903507154381,-5443.249999999944,-130.86811849956555,746.7798696208857,26.28114715561824,1.006858648644239,136,78.19852941176471
v1,10,ADNOCDRI,7204,27673,53119289.8,0,3.841358967240388,5.506021172642671,-2424.6999999999207,-13.962959315828122,367233.89331601374,28.373126041088288,1.5069299903042237,136,52.97058823529412
v1,10,ADNOCGAS,4985,163047,156248046.41,0,32.70743229689068,8.279874724986453,-8611.139999999948,-12.261402413368074,2463956.862284264,28.00401203610832,2.166153920793084,136,36.65441176470589
v1,10,ADNOCLS,4965,17121,34590152.97,0,3.4482900302114734,4.519847225012458,-3563.540000000068,-27.55815877837599,115115.67747175905,28.600201409869086,1.442903024473609,136,36.50735294117647
v1,10,EAND,5816,22022,53370281.74,0,3.786475240715253,5.771744439089758,-3422.059999999969,-14.783253312781676,278071.3676273428,30.691196698762035,1.4603486858331436,135,43.08148148148148
v1,10,ADCB,10536,5956,114967282.32,0,0.5652752467729907,0.4636286919290373,-13123.81999999996,-116.2373101729381,9564.382827504638,27.82839787395596,1.0371049313246563,135,78.04444444444445
v1,10,ADIB,9617,-17246,94216884.0,0,-1.7932744098990951,-2.911962544571464,-20827.23999999977,-581.5520534327785,-5494.895101047156,26.7547052095248,0.8433644120856726,136,70.71323529411765
v1,10,EMIRATES,9677,46156,113051987.8,0,4.7696341841480425,2.882302406680469,-10513.250000000167,-22.242332628470127,384509.5347437316,27.818538803348147,1.267726284369828,136,71.15441176470588
v1,10,TALABAT,3120,102274,57704886.143,0,32.78028141025656,3.897402663153487,-27711.08999999992,-90.35216394865412,217749.89700383708,29.32692307692308,1.866995251790666,131,23.81679389312977
v1,10,SPINNEYS,493,9552,2297701.45,0,19.37624746450304,5.857512108421929,-1324.1599999999962,-18.998345736721017,129293.07664302574,24.74645030425964,2.927042073670497,98,5.030612244897959
v1,10,FAB,7332,7983,74589833.78,0,1.0887479541734617,1.3564233392853309,-6190.419999999958,-4203.734890668389,351.8650417809673,27.55046372067649,1.0984544355207728,136,53.91176470588236
v1,10,SALIK,11631,81945,124772689.39,0,7.045378729258092,5.765566170767358,-5684.65999999996,-7.716465574089029,1967725.931772521,31.226893646290087,1.5168564606883943,136,85.5220588235294
v1,10,PARKIN,4920,9098,24034886.88,0,1.8491036585365888,2.423096169181537,-6220.26999999998,-398735.25641101546,4.227692145755629,31.28048780487805,1.2243679974763553,136,36.1764705882353
v1,10,MULTIPLY,6534,175184,145863874.28,0,26.811103458830743,6.244226568412694,-9292.390000000045,-6.887155593674288,4748109.175390472,27.288031833486382,1.7166308126658991,135,48.4
v1,10,MODON,2554,26588,22538607.29,0,10.410368050117528,4.814973189635612,-2361.8999999999933,-27.126387673394387,184327.7641041708,30.03132341425216,1.6742792184617832,134,19.059701492537314
v1,30,EMAAR,10147,377528,403692432.45,0,37.2058440918499,6.021683571173435,-37158.64999999991,-12.999007197989348,5381461.906540372,27.66334877303637,1.7727012543619636,136,74.61029411764706
v1,30,ALDAR,12214,-7169,86962940.25,0,-0.5869191092189602,-1.7225809131434109,-9310.670000000278,-2476.5054793067125,-536.362621317583,24.88128377271984,0.9103155486013113,136,89.80882352941177
v1,30,ADNOCDRI,7914,21441,58555912.6,0,2.70919636087944,4.530425833853853,-3884.170000000018,-115.51778491553884,34391.35675814671,27.723022491786708,1.3832260282174622,136,58.19117647058823
v1,30,ADNOCGAS,6438,130118,180512364.7,0,20.21100652376516,6.137519257982743,-14500.28000000011,-50.82325066244229,474392.8206290678,27.29108418763591,1.7886668732187083,136,47.338235294117645
v1,30,ADNOCLS,5614,14113,37596589.4,0,2.513849305308133,3.948953572752621,-2066.770000000066,-19.62396041728644,133255.95360047673,28.161738510865693,1.3406847078566324,136,41.27941176470589
v1,30,EAND,7032,19611,61739978.82,0,2.7888509670079764,5.080654372939252,-4259.939999999988,-19.61813183017636,186600.71025225823,31.27133105802048,1.3906341041260568,135,52.08888888888889
v1,30,ADCB,12788,-22420,129496221.18,0,-1.7531983109165112,-1.9998106844402035,-29191.60000000029,-546.2970240702033,-7660.7556248782275,27.29903034094464,0.8712850433828371,135,94.72592592592592
v1,30,ADIB,11653,-27005,105564677.86,0,-2.3174101089848085,-4.160057442091862,-29542.44000000001,-1164.1606834642764,-4298.22700029921,25.71869904745559,0.7739633405633598,136,85.68382352941177
v1,30,EMIRATES,11878,54678,132625970.25,0,4.603342313520774,3.4837364580778702,-9617.100000000082,-88.06626191588339,115045.2419729352,29.25576696413537,1.302903083225843,136,87.33823529411765
v1,30,TALABAT,4359,115861,71153924.827,0,26.57966253727949,5.317190186021917,-12664.989999999969,-36.40331513309819,594103.5791454556,26.65749025005736,2.010157963183172,135,32.28888888888889
v1,30,SPINNEYS,569,7607,2625968.1,0,13.368330404217923,4.727892961013106,-1510.4399999999978,-23.93625619229633,76268.3681747836,25.65905096660808,2.1959323810607576,105,5.419047619047619
v1,30,FAB,8285,7445,81369078.56,0,0.8986433313216703,1.2127420858884228,-7361.999999999881,-105.1762366279561,13116.678506314352,27.942063971031985,1.092823235217234,136,60.919117647058826
