Interval (sec),V1 P&L,V2 P&L,P&L Diff,V1 Trades,V2 Trades,V1 Sharpe,V2 Sharpe,V1 Max DD%,V2 Max DD%,V1 Win%,V2 Win%,V1 Loss%,V2 Loss%,V1 Calmar,V2 Calmar
10,998980.5380000006,1242331.7890000008,243351.25100000016,106826,269053,11.922671442255298,14.949627751699266,-2.2952289510673296,-3.403947496808695,28.381667384344635,23.550378549951127,17.295414973882764,18.484833843146145,80647822.62754953,67626416.94193693
30,967934.1990000007,1119660.4010000075,151726.2020000068,132936,252238,11.979596191675997,13.619167567390376,-3.6543149650447484,-2.9142100424092288,28.02100258771138,23.678430688476755,17.35195883733526,18.829438863295774,49079653.795501925,71191329.05606635
60,737547.4010000015,1016197.414000002,278650.0130000005,146632,235822,9.124963566873554,12.43868263626749,-29.50743400629994,-2.9662383325395703,27.742239074690385,23.373137366318662,17.239756669758307,19.095334616787238,4631483.539436148,63479525.9425909
120,776389.628000001,797757.4979999997,21367.869999998715,153867,212420,9.691178036383397,10.75397592130434,-3.789478787535556,-5.148062413932411,27.659602123912208,23.147067131155257,16.7781265638506,19.424253836738536,37963118.18495396,28713671.24224926
300,437533.70999999915,524575.3950000041,87041.68500000495,138271,171725,5.684616691522416,7.411493008048917,-7.376754462209437,-10.212372253397724,26.56956267040811,22.270490609986897,16.51250081361963,19.92371524239336,10990256.37231415,9517938.882764857
600,271928.55000000464,303404.7609999974,31476.210999992734,111124,136637,3.3390728707013717,4.53197551937133,-12.277229817148669,-16.33387929884281,26.070875778409704,22.091380811932346,15.762571541701162,19.46983613516105,4104082.2307419423,3441871.7348667006
