security,trades,pnl,position,entry_price
EMAAR,11016,210275.25000000215,0,0
ALDAR,6472,-17329.809999999812,0,0
ADNOCDRI,5448,-8780.290000000105,0,0
ADNOCGAS,5887,39484.12000000136,0,0
ADNOCLS,4412,3626.119999999826,0,0
EAND,6542,4822.880000000148,0,0
ADCB,8482,-46945.25999999963,0,0
ADIB,7814,-34439.22000000004,0,0
EMIRATES,9406,-6034.449999999793,0,0
TALABAT,6667,89862.95999999967,0,0
SPINNEYS,879,4402.2399999999925,0,0
FAB,6175,-9961.859999999753,0,0
SALIK,15289,13475.750000000193,0,0
PARKIN,6247,-1323.6399999998391,0,0
MULTIPLY,6963,17923.63000000022,0,0
MODON,3425,12870.13000000008,0,0
